0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,class,triple
-0.0020655901,-0.003772478,-0.117219105,-0.025950342,0.14728087,-0.95434815,0.35638538,1.3480741,-0.0841114,0.12830757,-0.023105029,-0.7812677,-3.6173038,-0.18189843,2.9724889,0.008221072,pos,0
-0.36199975,0.34693068,0.033575073,0.014922494,0.013617406,-0.3776217,-0.035248924,-0.9855194,-0.018127695,-0.23429722,0.16809599,-0.56452036,-11.469792,0.101730734,-0.62818384,0.10315021,neg,0
0.12129763,-0.014872695,-0.0049361703,-0.021570196,0.11355574,-0.9966503,1.011663,1.2487521,1.3675909,0.24849454,0.5100922,-4.5174012e-05,-2.689237,0.0033886624,0.0092052715,-0.45948783,pos,1
-0.005862416,-0.04341897,0.07327493,0.1036019,0.026959334,-2.3569133,-0.6496822,-1.6032257,-2.0265028,0.031756256,-0.419087,0.00032173126,-2.2347329,0.11771346,-0.03467737,0.2642163,neg,1
0.06468682,0.19326767,-0.0126925465,0.037077237,-0.083444215,-2.4016962,1.554484,2.5428545,0.56744987,0.14390777,0.08600102,-0.012366775,-4.218173,0.076838,-0.32783833,0.6131381,pos,2
-0.041980527,-0.20020856,-0.0057138093,0.22098011,0.12279411,-3.484846,-0.85050493,-4.7184772,-0.3447904,0.28653643,-0.7188044,-0.13574423,-1.945467,-0.14375292,-0.36639813,0.5961654,neg,2
0.030264521,0.35198852,-0.08089819,-0.17302153,-0.30113062,-2.247103,1.5919466,2.498856,-0.027474817,-0.13726462,0.05968605,0.11242213,-3.71899,0.42579406,0.7622052,-0.06217426,pos,3
0.5918069,-0.17963038,0.0014836998,0.046206683,0.30469063,-1.1065311,1.0505214,-0.26177588,-0.024025837,-0.019818528,-0.004981894,0.088326216,-8.68666,0.22348405,1.4297777,-0.011125086,neg,3
0.06970988,-0.36355072,-0.0057164254,1.961506,1.5757154,-0.48536837,-0.68828046,0.4387191,0.51499677,-0.43826604,-0.024046777,0.63904417,-4.7325654,1.263533,-0.22381848,0.154602,pos,4
0.11137654,-0.41880593,-0.13750605,-2.5860167,1.090378,-3.6431892,0.6799672,-0.22859228,0.14202479,0.83257776,-0.19128364,-2.7771764,-4.3706007,-0.8922129,0.09353388,0.9824784,neg,4
1.5502503,-0.38166076,-0.28406566,0.10427275,0.75189376,-2.4671419,0.009319499,0.9735508,0.13819686,-0.21591209,0.011362303,0.24084999,-3.4739075,2.0090418,0.92521733,-0.06906739,pos,5
-0.12330387,-1.2200832,-0.23133808,-0.26523882,-1.0479431,-1.7333817,-0.0023226908,1.7420452,0.20311284,0.2765263,-0.04467807,0.25117865,-4.7389064,0.13679853,-1.305099,-0.16755934,neg,5
0.15758774,-0.13333471,-0.03612845,-0.009511684,0.060030803,-0.2916686,-0.078658246,0.13471897,0.025162136,0.051305763,0.006800035,0.1765141,0.012162187,-0.5100306,-0.12121062,0.46236092,pos,6
0.059216995,-0.089921236,0.40942183,-0.33575827,-0.3551784,-0.24959853,-0.2912748,-0.115836374,-6.986572e-05,-0.00708892,0.024021473,0.34613353,-7.077118,0.01453581,0.027926339,-0.32919827,neg,6
-0.0075753545,-0.26105085,0.04505556,-0.0727476,1.6397601,-0.29245955,0.28618348,0.90350926,-0.16159405,-0.06322532,0.5057153,1.0539683,-5.099658,0.7222471,-0.089198194,-0.23486242,pos,7
0.21145158,-0.10283866,0.31681165,-0.30349103,-1.3998659,-0.20138295,-1.3718357,-0.9455687,0.29211313,-0.080139324,0.3457367,0.20439465,-7.9901953,-1.0672913,0.13275534,-0.09527265,neg,7
1.9552999,-0.010503293,-0.019483695,-0.053571943,-0.024061207,-2.4464664,0.48305,1.9497639,0.6452231,0.2994986,0.3909588,0.053083163,-3.1779714,0.22674961,0.54417855,0.02887893,pos,8
0.2424056,0.114149265,-0.05859523,-0.06488595,0.08992145,-1.5621618,-0.23380263,-0.25700542,-0.967654,1.0000851,-0.20333228,0.2662876,-4.962546,0.7662674,0.20765397,-0.075579256,neg,8
2.0420077,-0.65500665,-0.22770818,-0.11983048,0.019684277,-0.67087144,-0.058819856,0.059421085,0.07050879,2.7745025,1.4273511,-0.033860512,-4.8758893,-0.91416866,-0.012658528,1.9204955,pos,9
-0.025008699,-0.44505957,-0.26922524,-0.5029523,0.0749646,-0.75179064,-0.30874556,-0.0533435,0.25193474,1.3878839,1.0133597,-0.008680401,-7.7119923,-0.19948106,-0.012261907,-1.1808854,neg,9
0.87055653,-0.61419535,0.1131755,0.9068399,0.6793132,-1.8369931,0.9777933,0.78931546,0.24824755,0.13000993,1.1726274,-0.96596366,-6.214576,-0.049893018,3.0460029,0.11179555,pos,10
-1.095107,-2.3348947,0.33963773,1.6615553,-0.999761,-2.6177685,-1.5956286,-0.3815104,0.22959104,-0.058225352,0.44322675,-0.08733985,-6.3220487,-0.1664892,1.5646399,-0.13850494,neg,10
0.9498562,-0.1376877,-0.094078906,-0.12775488,0.20940912,-1.4985927,0.08989222,0.4178749,0.21156959,0.38800853,-0.13947615,1.4550772,-4.4851565,-0.026698845,-0.053320266,2.571453,pos,11
-0.5937424,-0.017790733,-0.18309836,0.059530392,-0.097294174,-0.44918606,-0.04365649,-0.32512265,-0.104377344,0.07057522,-0.030162973,-1.4710734,-7.4933085,0.035422835,-0.0173152,-0.57654077,neg,11
0.16006783,-0.5194011,0.007077851,0.008765552,-0.03443625,-2.341115,0.006917666,1.2948531,0.6824398,-0.29064152,-0.06651055,-0.31626597,0.013657362,0.5182134,0.16901326,0.23876092,pos,12
-0.5244862,0.1704587,-0.060225986,0.13140112,0.13998538,-2.1199946,0.014894979,-1.1544082,0.04854933,-0.43285543,-0.40696314,-0.5704761,-9.149872,0.15585211,0.17683752,0.1692539,neg,12
0.60770136,-0.32246444,0.11149212,0.03665129,0.22556122,-2.565319,0.10280553,0.06447322,0.2418952,-0.039353248,3.804197,0.83681995,-3.741337,0.19305696,0.5677485,0.024561929,pos,13
-0.49535698,-0.1997113,-0.075365916,-0.16100359,0.57286334,-1.7586131,0.0772516,0.056564867,0.49805596,0.20186105,-4.1870146,-0.19032301,-2.7209306,0.06463604,-0.58555883,0.31208268,neg,13
0.4992575,0.18269031,0.0021522092,-0.00015815262,0.018999146,-1.1196669,0.08153242,0.8824176,0.45523453,-0.13212247,0.07626092,-0.3393486,0.014898466,-0.23745276,0.104623795,-0.32942545,pos,14
0.20675768,0.39897427,-0.00517208,0.00018869416,0.07266161,-1.2728009,-0.21012281,0.1376424,-0.06850667,-0.2929803,0.70523864,-0.10854858,-8.721593,-0.34316665,-0.59190685,-0.49379218,neg,14
0.6398037,0.12179999,0.011988692,0.0053312196,0.038459715,-2.420307,-0.064808145,0.94303155,0.5085446,-0.16053188,0.06120045,-0.37655988,0.009887371,0.1981026,0.010268473,-0.15664743,pos,15
0.86312604,-0.059083253,-0.019560412,0.032163765,0.09986999,-0.4018523,-0.13184291,0.54411095,0.07961532,-0.11956031,0.38133946,-0.2370402,-9.012812,-0.04074628,-0.017562252,-0.024205472,neg,15
-0.4298748,-0.047308832,0.2080416,-0.010273963,1.3990108,-2.22052,1.0849439,2.9419796,-0.010120789,0.14569223,0.018674292,0.9296113,-4.4275775,-0.0060075237,0.4289823,-0.18926871,pos,16
1.0372605,-0.075628825,-0.18884687,0.034838703,-2.3570766,-5.6511574,-1.0590501,-1.828603,-0.014269466,-0.17627719,0.2575941,-0.7024085,-3.043508,-0.6293064,1.967404,0.4268961,neg,16
2.0386589,-0.15928358,-0.18150023,0.3400039,0.10285047,-0.7484042,0.43672037,0.6576344,-0.021918701,-0.019263415,0.34958366,0.8273898,-3.6389098,-0.0806095,0.04829066,0.34220347,pos,17
-1.8881131,-0.19166511,0.099592894,0.51608837,-0.33772072,-2.4999588,0.35627532,0.35456425,0.048275698,-0.047175404,-0.27856064,-1.043958,-5.3300085,-0.47181323,-0.09482521,1.1631476,neg,17
-0.005446889,-0.0043811323,-0.052246075,-0.09148466,0.5831738,-1.5227176,0.45617357,1.6539209,0.10005809,0.121352024,-0.0055716117,-0.4175187,-3.1577122,0.04256952,2.9671617,0.0034336394,pos,18
